Средняя дневная смертность, чел.	Температура, C	Загрязнённость воздуха, % от макс. допустимой
81.87	20.89	39.16
91.12	22.16	43.59
90.55	23.14	43.26
89.62	21.48	35.86
91.63	21.06	40.40
89.22	26.79	44.84
84.81	19.53	28.72
95.00	27.62	44.40
83.77	19.00	24.24
98.26	27.11	37.13
82.87	28.96	38.01
85.51	24.18	32.22
84.67	27.53	32.86
84.45	24.38	25.83
93.96	28.03	37.95
82.47	29.37	36.93
89.18	29.41	34.03
87.33	26.52	27.68
92.67	36.22	52.62
93.83	29.98	36.51
86.65	27.78	33.53
89.35	27.75	39.94
77.97	28.64	36.85
86.06	30.08	38.93
83.34	25.35	24.55
87.35	25.11	48.89
90.58	27.87	48.69
84.72	25.87	42.71
88.32	26.07	42.34
82.62	23.59	50.98
92.52	21.67	56.67
86.73	22.33	61.51
99.54	22.55	73.11
95.50	18.78	57.48
92.34	17.87	56.63
97.49	22.88	67.47
97.90	23.73	71.64
97.54	10.51	54.52
103.78	19.14	74.98
110.17	24.16	74.95
116.04	19.88	57.30
132.04	13.71	71.59
126.95	21.16	69.80
121.11	14.77	47.92
119.30	19.83	63.78
118.20	17.71	59.76
102.36	15.04	40.04
98.44	20.31	47.44
97.87	20.19	42.77
92.98	18.67	41.51
96.16	14.86	31.86
86.83	18.71	41.68
91.09	15.47	29.07
92.50	17.75	30.83
90.64	25.08	44.48
80.69	19.22	38.35
99.91	22.70	30.98
89.09	19.93	37.46
94.25	23.12	39.57
93.33	21.92	40.28
84.08	21.09	31.64
86.37	25.83	36.16
86.61	22.51	26.97
82.47	29.36	45.76
82.73	22.76	28.17
98.29	35.68	47.48
87.02	27.60	37.47
91.13	28.43	38.23
80.23	26.34	30.47
81.36	25.91	32.50
82.80	30.24	42.10
87.24	27.82	33.92
79.37	27.07	30.54
86.83	30.93	45.70
82.00	27.47	37.03
77.96	25.19	30.50
79.69	23.99	33.47
87.32	24.36	36.95
85.33	23.47	41.08
92.02	30.99	56.16
84.03	20.61	41.31
83.45	27.82	66.01
82.35	26.58	56.46
89.17	28.22	62.06
82.24	23.09	54.20
93.35	23.19	73.04
89.16	17.74	45.54
95.13	17.27	53.33
89.10	18.22	67.77
100.32	24.14	75.61
95.61	19.51	71.46
99.61	20.62	63.29
105.82	16.42	62.04
104.20	10.68	38.94
95.45	17.93	63.31
90.48	18.56	67.74
93.58	18.58	73.76
91.71	18.71	70.13
95.29	22.36	65.87
94.69	17.32	53.98
102.50	21.97	52.55
98.58	19.61	47.86
107.12	15.36	46.35
99.29	23.02	63.72
96.85	16.62	30.78
89.02	18.25	30.02
96.27	23.57	38.49
97.55	23.55	42.06
85.16	21.56	37.61
94.77	22.49	40.20
85.45	21.14	29.69
97.46	21.25	29.53
83.31	19.17	25.86
91.41	28.39	38.95
88.84	21.83	25.70
86.44	24.16	27.84
82.08	27.21	35.82
83.63	28.62	35.45
95.22	31.26	42.62
80.28	25.49	25.63
85.59	27.91	33.96
84.68	32.64	42.15
81.53	30.32	37.38
89.20	29.33	30.58
74.51	26.84	23.68
81.85	26.79	33.10
81.97	28.27	36.67
85.01	29.44	38.60
86.98	31.64	45.79
81.67	25.62	33.46
91.11	29.48	50.93
83.38	24.66	41.47
86.18	23.46	28.15
89.93	24.68	54.62
91.82	28.71	59.46
92.27	19.79	35.47
89.29	17.98	52.77
85.41	27.61	65.32
96.78	22.59	66.49
83.60	23.11	62.46
98.63	20.61	60.38
90.86	19.31	72.83
94.36	21.13	53.78
97.52	20.85	81.09
108.68	12.96	44.05
107.23	17.32	65.68
107.08	18.89	45.98
113.39	27.14	77.13
105.51	20.87	69.77
111.90	12.69	51.34
110.44	17.89	43.97
95.42	16.73	45.11
97.78	19.01	49.49
90.38	20.98	68.46
86.89	16.02	32.69
91.59	15.24	35.97
85.51	18.69	40.71
88.16	17.83	27.56
87.03	15.91	38.52
88.61	15.66	24.95
96.96	17.73	28.94
80.03	19.35	27.64
80.53	20.82	34.40
76.46	23.43	38.51
78.85	20.72	27.59
87.03	21.59	27.26
82.27	24.08	30.53
78.92	22.59	28.93
72.75	23.84	31.07
77.75	21.21	21.80
83.79	27.45	39.47
82.13	27.79	32.09
76.42	29.87	38.39
74.58	25.86	24.72
79.61	29.13	36.54
76.52	28.26	33.27
79.27	30.29	42.32
74.70	25.28	24.60
75.49	27.62	34.57
82.82	28.12	42.28
80.29	28.38	42.04
80.05	24.30	32.93
78.64	33.48	55.42
79.40	30.23	47.80
71.02	28.35	49.69
73.55	22.87	32.25
79.60	26.01	62.39
85.08	21.39	39.47
90.14	24.48	71.81
82.26	21.86	66.09
86.75	24.99	66.65
90.11	22.76	87.02
94.86	19.32	70.08
89.68	23.72	75.04
90.16	17.86	57.53
85.73	19.60	86.54
96.82	21.52	74.91
100.37	17.69	65.11
93.43	20.01	77.79
94.12	28.99	68.15
89.26	21.71	56.86
91.81	27.47	72.82
97.40	13.62	28.88
102.71	19.42	46.97
101.94	20.51	46.06
97.40	20.50	45.68
96.12	14.83	34.93
105.45	20.31	42.69
94.34	25.02	49.61
92.51	23.63	34.81
88.47	18.59	32.69
85.47	17.46	37.25
85.70	18.63	30.87
84.48	22.41	33.85
85.63	23.99	37.26
79.67	20.56	30.77
80.78	27.65	41.64
74.58	22.38	24.47
76.32	21.82	27.11
80.37	23.93	26.35
83.30	23.98	31.02
82.98	27.54	31.12
91.34	36.14	51.07
78.57	27.86	31.41
76.68	30.27	38.80
76.47	24.98	20.25
73.66	27.92	39.55
78.61	26.35	24.78
83.40	27.49	34.29
71.96	26.46	28.97
77.17	26.23	23.49
72.38	31.86	43.61
79.52	31.24	35.53
72.05	26.74	37.07
75.86	22.99	26.80
74.32	24.66	32.85
77.70	24.71	32.26
82.99	32.94	62.64
77.79	25.55	46.12
77.42	24.50	39.81
85.55	25.89	58.60
85.33	33.66	62.88
82.16	20.26	55.21
83.74	27.53	70.06
84.40	19.91	68.84
90.32	24.99	72.52
82.74	22.82	76.28
91.50	23.59	70.51
96.23	21.40	82.92
92.90	16.62	59.98
92.30	13.94	49.06
91.76	21.82	73.60
92.34	22.01	66.53
78.91	19.99	58.90
88.06	21.84	73.23
81.91	26.29	63.09
79.68	25.04	59.88
83.20	17.86	38.20
84.05	21.12	50.47
85.80	19.81	42.62
84.39	18.31	43.78
91.74	17.96	32.37
90.65	17.99	38.38
89.67	22.48	38.56
86.24	20.70	29.40
91.46	26.64	42.67
83.30	22.40	26.34
83.05	18.52	25.97
74.14	17.62	25.43
90.12	22.77	31.87
83.84	21.44	24.29
79.94	27.84	39.16
74.65	22.19	25.12
77.89	25.55	29.09
78.06	26.12	44.28
74.96	28.37	30.82
77.90	27.49	35.48
73.65	28.28	32.00
79.32	30.62	42.21
82.91	33.34	50.72
79.48	29.74	35.68
73.21	28.97	42.33
76.46	28.29	38.64
73.76	27.23	31.34
68.11	28.32	35.67
76.53	30.26	46.25
68.46	22.82	28.99
72.84	26.01	40.95
79.92	25.89	43.52
73.26	28.78	55.96
79.55	27.02	62.68
77.02	24.33	55.11
78.39	24.93	58.20
81.86	24.32	46.54
88.20	25.73	70.18
75.69	21.43	63.47
88.85	28.53	54.20
82.52	26.21	79.33
87.44	21.08	84.63
82.91	19.31	61.30
92.84	19.23	45.23
91.85	17.19	49.39
89.82	18.14	55.44
96.84	17.47	52.89
99.56	17.73	49.81
105.10	20.70	70.13
95.70	20.31	51.20
93.46	15.33	33.42
99.27	20.39	51.38
90.39	20.19	44.75
85.85	17.73	29.73
86.69	18.11	40.61
92.94	25.64	38.54
86.63	22.16	33.52
89.78	20.19	27.99
83.22	18.65	33.03
86.04	18.84	28.45
81.53	22.17	34.62
77.46	20.09	28.50
76.63	23.28	36.68
82.09	28.74	38.51
81.22	26.32	36.46
70.96	25.65	31.67
80.17	25.17	29.37
78.48	28.57	45.10
76.80	28.85	37.34
77.63	30.97	40.83
74.31	25.37	26.23
76.30	27.04	41.39
85.97	32.99	54.79
73.07	28.57	48.53
76.29	30.12	49.52
75.21	30.41	48.24
79.18	28.41	38.98
78.25	28.00	48.30
77.24	27.26	50.38
81.55	30.40	46.98
75.46	26.47	37.37
76.86	23.31	33.96
88.43	36.19	42.00
92.93	33.06	83.31
77.65	26.99	56.31
78.74	30.08	80.37
73.63	25.25	44.22
82.11	23.65	56.81
80.81	25.10	65.55
84.34	18.66	54.19
83.48	19.50	59.00
76.40	16.71	34.21
92.77	19.58	70.47
88.09	16.27	45.77
96.20	20.03	58.69
100.28	16.26	68.59
107.58	17.18	69.01
93.73	17.84	41.98
87.33	17.07	57.91
88.11	15.74	40.87
88.07	14.59	49.12
100.81	13.51	36.65
95.52	21.35	97.94
91.14	16.63	40.38
85.67	17.12	41.46
88.24	18.94	52.88
88.61	24.61	66.78
85.64	14.81	33.82
87.29	18.33	36.40
83.92	19.38	35.32
89.15	22.45	41.24
87.61	22.42	37.87
81.99	21.93	45.54
84.86	23.41	37.26
81.17	18.76	35.95
87.33	28.41	42.48
86.40	23.17	42.84
85.90	24.49	34.24
79.01	20.91	37.36
83.49	30.44	39.51
87.88	30.27	54.25
74.94	25.83	37.89
80.32	29.28	48.03
81.75	27.08	43.51
78.68	29.18	48.69
74.62	29.63	54.48
74.16	28.82	49.22
71.50	29.39	50.34
75.89	29.24	55.97
74.89	25.68	35.50
77.36	30.33	62.81
73.63	26.66	38.61
81.17	32.74	63.60
83.91	34.13	57.53
82.36	32.31	54.97
79.74	26.88	47.22
73.46	27.98	69.14
79.03	24.08	42.17
76.56	22.38	45.59
78.52	24.27	70.72
89.43	22.96	57.58
85.49	21.40	62.61
