Номер	Вид	Масса	Длина1	Длина2	Длина3	Высота	Толщина
90	6	300,0	34,8	37,3	39,8	6,3	4
91	6	430,0	35,5	38,0	40,5	7,3	4,6
92	6	345,0	36,0	38,5	41,0	6,4	4
93	6	456,0	40,0	42,5	45,5	7,3	4,3
94	6	510,0	40,0	42,5	45,5	6,8	4,5
95	6	540,0	40,1	43,0	45,8	7,8	5,1
96	6	500,0	42,0	45,0	48,0	7	4,9
97	6	567,0	43,2	46,0	48,7	7,8	4,9
98	6	770,0	44,8	48,0	51,2	7,7	5,4
99	6	950,0	48,3	51,7	55,1	8,9	6,2
100	6	1250,0	52,0	56,0	59,7	10,7	7
101	6	1600,0	56,0	60,0	64,0	9,6	6,1
102	6	1550,0	56,0	60,0	64,0	9,6	6,1
103	6	1650,0	59,0	63,4	68,0	10,8	7,5
104	7	5,9	7,5	8,4	8,8	2,1	1,4
105	7	32,0	12,5	13,7	14,7	3,5	2
106	7	40,0	13,8	15,0	16,0	3,8	2,4
107	7	51,5	15,0	16,2	17,2	4,6	2,6
108	7	70,0	15,7	17,4	18,5	4,6	2,9
109	7	100,0	16,2	18,0	19,2	5,2	3,3
110	7	78,0	16,8	18,7	19,4	5,2	3,1
111	7	80,0	17,2	19,0	20,2	5,6	3,1
112	7	85,0	17,8	19,6	20,8	5,1	3
113	7	85,0	18,2	20,0	21,0	5,1	2,8
114	7	110,0	19,0	21,0	22,5	5,7	3,6
115	7	115,0	19,0	21,0	22,5	5,9	3,3
116	7	125,0	19,0	21,0	22,5	5,7	3,7
117	7	130,0	19,3	21,3	22,8	6,4	3,5
118	7	120,0	20,0	22,0	23,5	6,1	3,4
119	7	120,0	20,0	22,0	23,5	5,6	3,5
120	7	130,0	20,0	22,0	23,5	6,1	3,5
121	7	135,0	20,0	22,0	23,5	5,9	3,5
122	7	110,0	20,0	22,0	23,5	5,5	4
123	7	130,0	20,5	22,5	24,0	5,9	3,6
124	7	150,0	20,5	22,5	24,0	6,8	3,6
125	7	145,0	20,7	22,7	24,2	6	3,6
126	7	150,0	21,0	23,0	24,5	5,2	3,6
127	7	170,0	21,5	23,5	25,0	6,3	3,7
128	7	225,0	22,0	24,0	25,5	7,3	3,7
129	7	145,0	22,0	24,0	25,5	6,4	3,8
130	7	188,0	22,6	24,6	26,2	6,7	4,2
131	7	180,0	23,0	25,0	26,5	6,4	3,7
132	7	197,0	23,5	25,6	27,0	6,6	4,2
133	7	218,0	25,0	26,5	28,0	7,2	4,1
134	7	300,0	25,2	27,3	28,7	8,3	5,1
135	7	260,0	25,4	27,5	28,9	7,2	4,3
136	7	265,0	25,4	27,5	28,9	7,1	4,3
137	7	250,0	25,4	27,5	28,9	7,3	4,6
138	7	250,0	25,9	28,0	29,4	7,8	4,2
139	7	300,0	26,9	28,7	30,1	7,6	4,6
140	7	320,0	27,8	30,0	31,6	7,6	4,8
141	7	514,0	30,5	32,8	34,0	10	6
142	7	556,0	32,0	34,5	36,5	10,3	6,4
143	7	840,0	32,5	35,0	37,3	11,5	7,8
144	7	685,0	34,0	36,5	39,0	10,9	6,9
145	7	700,0	34,0	36,0	38,3	10,6	6,7
146	7	700,0	34,5	37,0	39,4	10,8	6,3
147	7	690,0	34,6	37,0	39,3	10,6	6,4
148	7	900,0	36,5	39,0	41,4	11,1	7,5
149	7	650,0	36,5	39,0	41,4	11,1	6
150	7	820,0	36,6	39,0	41,3	12,4	7,4
151	7	850,0	36,9	40,0	42,3	11,9	7,1
152	7	900,0	37,0	40,0	42,5	11,7	7,2
153	7	1015,0	37,0	40,0	42,4	12,4	7,5
154	7	820,0	37,1	40,0	42,5	11,1	6,6
155	7	1100,0	39,0	42,0	44,6	12,8	6,9
156	7	1000,0	39,8	43,0	45,2	11,9	7,3
157	7	1100,0	40,1	43,0	45,5	12,5	7,4
158	7	1000,0	40,2	43,5	46,0	12,6	8,1
159	7	1000,0	41,1	44,0	46,6	12,5	7,6
