ћес€ц	—реднее число п€тен
12.1758	43.0
01.1759	48.3
02.1759	44.0
03.1759	46.8
04.1759	47.0
05.1759	49.0
06.1759	50.0
07.1759	51.0
08.1759	71.3
09.1759	77.2
10.1759	59.7
11.1759	46.3
12.1759	57.0
01.1760	67.3
02.1760	59.5
03.1760	74.7
04.1760	58.3
05.1760	72.0
06.1760	48.3
07.1760	66.0
08.1760	75.6
09.1760	61.3
10.1760	50.6
11.1760	59.7
12.1760	61.0
01.1761	70.0
02.1761	91.0
03.1761	80.7
04.1761	71.7
05.1761	107.2
06.1761	99.3
07.1761	94.1
08.1761	91.1
09.1761	100.7
10.1761	88.7
11.1761	89.7
12.1761	46.0
01.1762	43.8
02.1762	72.8
03.1762	45.7
04.1762	60.2
05.1762	39.9
06.1762	77.1
07.1762	33.8
08.1762	67.7
09.1762	68.5
10.1762	69.3
11.1762	77.8
12.1762	77.2
01.1763	56.5
02.1763	31.9
03.1763	34.2
04.1763	32.9
05.1763	32.7
06.1763	35.8
07.1763	54.2
08.1763	26.5
09.1763	68.1
10.1763	46.3
11.1763	60.9
12.1763	61.4
01.1764	59.7
02.1764	59.7
03.1764	40.2
04.1764	34.4
05.1764	44.3
06.1764	30.0
07.1764	30.0
08.1764	30.0
09.1764	28.2
10.1764	28.0
11.1764	26.0
12.1764	25.7
01.1765	24.0
02.1765	26.0
03.1765	25.0
04.1765	22.0
05.1765	20.2
06.1765	20.0
07.1765	27.0
08.1765	29.7
09.1765	16.0
10.1765	14.0
11.1765	14.0
12.1765	13.0
01.1766	12.0
02.1766	11.0
03.1766	36.6
04.1766	6.0
05.1766	26.8
06.1766	3.0
07.1766	3.3
08.1766	4.0
09.1766	4.3
10.1766	5.0
11.1766	5.7
12.1766	19.2
01.1767	27.4
02.1767	30.0
03.1767	43.0
04.1767	32.9
05.1767	29.8
06.1767	33.3
07.1767	21.9
08.1767	40.8
09.1767	42.7
10.1767	44.1
11.1767	54.7
12.1767	53.3
01.1768	53.5
02.1768	66.1
03.1768	46.3
04.1768	42.7
05.1768	77.7
06.1768	77.4
07.1768	52.6
08.1768	66.8
09.1768	74.8
10.1768	77.8
11.1768	90.6
12.1768	111.8
01.1769	73.9
02.1769	64.2
03.1769	64.3
04.1769	96.7
05.1769	73.6
06.1769	94.4
07.1769	118.6
08.1769	120.3
09.1769	148.8
10.1769	158.2
11.1769	148.1
12.1769	112.0
01.1770	104.0
02.1770	142.5
03.1770	80.1
04.1770	51.0
05.1770	70.1
06.1770	83.3
07.1770	109.8
08.1770	126.3
09.1770	104.4
10.1770	103.6
11.1770	132.2
12.1770	102.3
01.1771	36.0
02.1771	46.2
03.1771	46.7
04.1771	64.9
05.1771	152.7
06.1771	119.5
07.1771	67.7
08.1771	58.5
09.1771	101.4
10.1771	90.0
11.1771	99.7
12.1771	95.7
01.1772	100.9
02.1772	90.8
03.1772	31.1
04.1772	92.2
05.1772	38.0
06.1772	57.0
07.1772	77.3
08.1772	56.2
09.1772	50.5
10.1772	78.6
11.1772	61.3
12.1772	64.0
01.1773	54.6
02.1773	29.0
03.1773	51.2
04.1773	32.9
05.1773	41.1
06.1773	28.4
07.1773	27.7
08.1773	12.7
09.1773	29.3
10.1773	26.3
11.1773	40.9
12.1773	43.2
01.1774	46.8
02.1774	65.4
03.1774	55.7
04.1774	43.8
05.1774	51.3
06.1774	28.5
07.1774	17.5
08.1774	6.6
09.1774	7.9
10.1774	14.0
11.1774	17.7
12.1774	12.2
01.1775	4.4
02.1775	0.0
03.1775	11.6
04.1775	11.2
05.1775	3.9
06.1775	12.3
07.1775	1.0
08.1775	7.9
09.1775	3.2
10.1775	5.6
11.1775	15.1
12.1775	7.9
01.1776	21.7
02.1776	11.6
03.1776	6.3
04.1776	21.8
05.1776	11.2
06.1776	19.0
07.1776	1.0
08.1776	24.2
09.1776	16.0
10.1776	30.0
11.1776	35.0
12.1776	40.0
01.1777	45.0
02.1777	36.5
03.1777	39.0
04.1777	95.5
05.1777	80.3
06.1777	80.7
07.1777	95.0
08.1777	112.0
09.1777	116.2
10.1777	106.5
11.1777	146.0
12.1777	157.3
01.1778	177.3
02.1778	109.3
03.1778	134.0
04.1778	145.0
05.1778	238.9
06.1778	171.6
07.1778	153.0
08.1778	140.0
09.1778	171.7
10.1778	156.3
11.1778	150.3
12.1778	105.0
01.1779	114.7
02.1779	165.7
03.1779	118.0
04.1779	145.0
05.1779	140.0
06.1779	113.7
07.1779	143.0
08.1779	112.0
09.1779	111.0
10.1779	124.0
11.1779	114.0
12.1779	110.0
01.1780	70.0
02.1780	98.0
03.1780	98.0
04.1780	95.0
05.1780	107.2
06.1780	88.0
07.1780	86.0
08.1780	86.0
09.1780	93.7
10.1780	77.0
11.1780	60.0
12.1780	58.7
01.1781	98.7
02.1781	74.7
03.1781	53.0
04.1781	68.3
05.1781	104.7
06.1781	97.7
07.1781	73.5
08.1781	66.0
09.1781	51.0
10.1781	27.3
11.1781	67.0
12.1781	35.2
01.1782	54.0
02.1782	37.5
03.1782	37.0
04.1782	41.0
05.1782	54.3
06.1782	38.0
07.1782	37.0
08.1782	44.0
09.1782	34.0
10.1782	23.2
11.1782	31.5
12.1782	30.0
01.1783	28.0
02.1783	38.7
03.1783	26.7
04.1783	28.3
05.1783	23.0
06.1783	25.2
07.1783	32.2
08.1783	20.0
09.1783	18.0
10.1783	8.0
11.1783	15.0
12.1783	10.5
01.1784	13.0
02.1784	8.0
03.1784	11.0
04.1784	10.0
05.1784	6.0
06.1784	9.0
07.1784	6.0
08.1784	10.0
09.1784	10.0
10.1784	8.0
11.1784	17.0
12.1784	14.0
01.1785	6.5
02.1785	8.0
03.1785	9.0
04.1785	15.7
05.1785	20.7
06.1785	26.3
07.1785	36.3
08.1785	20.0
09.1785	32.0
10.1785	47.2
11.1785	40.2
12.1785	27.3
01.1786	37.2
02.1786	47.6
03.1786	47.7
04.1786	85.4
05.1786	92.3
06.1786	59.0
07.1786	83.0
08.1786	89.7
09.1786	111.5
10.1786	112.3
11.1786	116.0
12.1786	112.7
01.1787	134.7
02.1787	106.0
03.1787	87.4
04.1787	127.2
05.1787	134.8
06.1787	99.2
07.1787	128.0
08.1787	137.2
09.1787	157.3
10.1787	157.0
11.1787	141.5
12.1787	174.0
01.1788	138.0
02.1788	129.2
03.1788	143.3
04.1788	108.5
05.1788	113.0
06.1788	154.2
07.1788	141.5
08.1788	136.0
09.1788	141.0
10.1788	142.0
11.1788	94.7
12.1788	129.5
01.1789	114.0
02.1789	125.3
03.1789	120.0
04.1789	123.3
05.1789	123.5
06.1789	120.0
07.1789	117.0
08.1789	103.0
09.1789	112.0
10.1789	89.7
11.1789	134.0
12.1789	135.5
01.1790	103.0
02.1790	127.5
03.1790	96.3
04.1790	94.0
05.1790	93.0
06.1790	91.0
07.1790	69.3
08.1790	87.0
09.1790	77.3
10.1790	84.3
11.1790	82.0
12.1790	74.0
01.1791	72.7
02.1791	62.0
03.1791	74.0
04.1791	77.2
05.1791	73.7
06.1791	64.2
07.1791	71.0
08.1791	43.0
09.1791	66.5
10.1791	61.7
11.1791	67.0
12.1791	66.0
01.1792	58.0
02.1792	64.0
03.1792	63.0
04.1792	75.7
05.1792	62.0
06.1792	61.0
07.1792	45.8
08.1792	60.0
09.1792	59.0
10.1792	59.0
11.1792	57.0
12.1792	56.0
01.1793	56.0
02.1793	55.0
03.1793	55.5
04.1793	53.0
05.1793	52.3
06.1793	51.0
07.1793	50.0
08.1793	29.3
09.1793	24.0
10.1793	47.0
11.1793	44.0
12.1793	45.7
01.1794	45.0
02.1794	44.0
03.1794	38.0
04.1794	28.4
05.1794	55.7
06.1794	41.5
07.1794	41.0
08.1794	40.0
09.1794	11.1
10.1794	28.5
11.1794	67.4
12.1794	51.4
01.1795	21.4
02.1795	39.9
03.1795	12.6
04.1795	18.6
05.1795	31.0
06.1795	17.1
07.1795	12.9
08.1795	25.7
09.1795	13.5
10.1795	19.5
11.1795	25.0
12.1795	18.0
01.1796	22.0
02.1796	23.8
03.1796	15.7
04.1796	31.7
05.1796	21.0
06.1796	6.7
07.1796	26.9
08.1796	1.5
09.1796	18.4
10.1796	11.0
11.1796	8.4
12.1796	5.1
01.1797	14.4
02.1797	4.2
03.1797	4.0
04.1797	4.0
05.1797	7.3
06.1797	11.1
07.1797	4.3
08.1797	6.0
09.1797	5.7
10.1797	6.9
11.1797	5.8
12.1797	3.0
01.1798	2.0
02.1798	4.0
03.1798	12.4
04.1798	1.1
05.1798	0.0
06.1798	0.0
07.1798	0.0
08.1798	3.0
09.1798	2.4
10.1798	1.5
11.1798	12.5
12.1798	9.9
01.1799	1.6
02.1799	12.6
03.1799	21.7
04.1799	8.4
05.1799	8.2
06.1799	10.6
07.1799	2.1
08.1799	0.0
09.1799	0.0
10.1799	4.6
11.1799	2.7
12.1799	8.6
01.1800	6.9
02.1800	9.3
03.1800	13.9
04.1800	0.0
05.1800	5.0
06.1800	23.7
07.1800	21.0
08.1800	19.5
09.1800	11.5
10.1800	12.3
11.1800	10.5
12.1800	40.1
01.1801	27.0
02.1801	29.0
03.1801	30.0
04.1801	31.0
05.1801	32.0
06.1801	31.2
07.1801	35.0
08.1801	38.7
09.1801	33.5
10.1801	32.6
11.1801	39.8
12.1801	48.2
01.1802	47.8
02.1802	47.0
03.1802	40.8
04.1802	42.0
05.1802	44.0
06.1802	46.0
07.1802	48.0
08.1802	50.0
09.1802	51.8
10.1802	38.5
11.1802	34.5
12.1802	50.0
01.1803	50.0
02.1803	50.8
03.1803	29.5
04.1803	25.0
05.1803	44.3
06.1803	36.0
07.1803	48.3
08.1803	34.1
09.1803	45.3
10.1803	54.3
11.1803	51.0
12.1803	48.0
01.1804	45.3
02.1804	48.3
03.1804	48.0
04.1804	50.6
05.1804	33.4
06.1804	34.8
07.1804	29.8
08.1804	43.1
09.1804	53.0
10.1804	62.3
11.1804	61.0
12.1804	60.0
01.1805	61.0
02.1805	44.1
03.1805	51.4
04.1805	37.5
05.1805	39.0
06.1805	40.5
07.1805	37.6
08.1805	42.7
09.1805	44.4
10.1805	29.4
11.1805	41.0
12.1805	38.3
01.1806	39.0
02.1806	29.6
03.1806	32.7
04.1806	27.7
05.1806	26.4
06.1806	25.6
07.1806	30.0
08.1806	26.3
09.1806	24.0
10.1806	27.0
11.1806	25.0
12.1806	24.0
01.1807	12.0
02.1807	12.2
03.1807	9.6
04.1807	23.8
05.1807	10.0
06.1807	12.0
07.1807	12.7
08.1807	12.0
09.1807	5.7
10.1807	8.0
11.1807	2.6
12.1807	0.0
01.1808	0.0
02.1808	4.5
03.1808	0.0
04.1808	12.3
05.1808	13.5
06.1808	13.5
07.1808	6.7
08.1808	8.0
09.1808	11.7
10.1808	4.7
11.1808	10.5
12.1808	12.3
01.1809	7.2
02.1809	9.2
03.1809	0.9
04.1809	2.5
05.1809	2.0
06.1809	7.7
07.1809	0.3
08.1809	0.2
09.1809	0.4
10.1809	0.0
11.1809	0.0
12.1809	0.0
01.1810	0.0
02.1810	0.0
03.1810	0.0
04.1810	0.0
05.1810	0.0
06.1810	0.0
07.1810	0.0
08.1810	0.0
09.1810	0.0
10.1810	0.0
11.1810	0.0
12.1810	0.0
01.1811	0.0
02.1811	0.0
03.1811	0.0
04.1811	0.0
05.1811	0.0
06.1811	0.0
07.1811	6.6
08.1811	0.0
09.1811	2.4
10.1811	6.1
11.1811	0.8
12.1811	1.1
01.1812	11.3
02.1812	1.9
03.1812	0.7
04.1812	0.0
05.1812	1.0
06.1812	1.3
07.1812	0.5
08.1812	15.6
09.1812	5.2
10.1812	3.9
11.1812	7.9
12.1812	10.1
01.1813	0.0
02.1813	10.3
03.1813	1.9
04.1813	16.6
05.1813	5.5
06.1813	11.2
07.1813	18.3
08.1813	8.4
09.1813	15.3
10.1813	27.8
11.1813	16.7
12.1813	14.3
01.1814	22.2
02.1814	12.0
03.1814	5.7
04.1814	23.8
05.1814	5.8
06.1814	14.9
07.1814	18.5
08.1814	2.3
09.1814	8.1
10.1814	19.3
11.1814	14.5
12.1814	20.1
01.1815	19.2
02.1815	32.2
03.1815	26.2
04.1815	31.6
05.1815	9.8
06.1815	55.9
07.1815	35.5
08.1815	47.2
09.1815	31.5
10.1815	33.5
11.1815	37.2
12.1815	65.0
01.1816	26.3
02.1816	68.8
03.1816	73.7
04.1816	58.8
05.1816	44.3
06.1816	43.6
07.1816	38.8
08.1816	23.2
09.1816	47.8
10.1816	56.4
11.1816	38.1
12.1816	29.9
01.1817	36.4
02.1817	57.9
03.1817	96.2
04.1817	26.4
05.1817	21.2
06.1817	40.0
07.1817	50.0
08.1817	45.0
09.1817	36.7
10.1817	25.6
11.1817	28.9
12.1817	28.4
01.1818	34.9
02.1818	22.4
03.1818	25.4
04.1818	34.5
05.1818	53.1
06.1818	36.4
07.1818	28.0
08.1818	31.5
09.1818	26.1
10.1818	31.6
11.1818	10.9
12.1818	25.8
01.1819	32.8
02.1819	20.7
03.1819	3.7
04.1819	20.2
05.1819	19.6
06.1819	35.0
07.1819	31.4
08.1819	26.1
09.1819	14.9
10.1819	27.5
11.1819	25.1
12.1819	30.6
01.1820	19.2
02.1820	26.6
03.1820	4.5
04.1820	19.4
05.1820	29.3
06.1820	10.8
07.1820	20.6
08.1820	25.9
09.1820	5.2
10.1820	8.9
11.1820	7.9
12.1820	9.1
01.1821	21.5
02.1821	4.2
03.1821	5.7
04.1821	9.2
05.1821	1.7
06.1821	1.8
07.1821	2.5
08.1821	4.8
09.1821	4.4
10.1821	18.8
11.1821	4.4
12.1821	0.2
01.1822	0.0
02.1822	0.9
03.1822	16.1
04.1822	13.5
05.1822	1.5
06.1822	5.6
07.1822	7.9
08.1822	2.1
09.1822	0.0
10.1822	0.4
11.1822	0.0
12.1822	0.0
01.1823	0.0
02.1823	0.0
03.1823	0.6
04.1823	0.0
05.1823	0.0
06.1823	0.0
07.1823	0.5
08.1823	0.0
09.1823	0.0
10.1823	0.0
11.1823	0.0
12.1823	20.4
01.1824	21.7
02.1824	10.8
03.1824	0.0
04.1824	19.4
05.1824	2.8
06.1824	0.0
07.1824	0.0
08.1824	1.4
09.1824	20.5
10.1824	25.2
11.1824	0.0
12.1824	0.8
01.1825	5.0
02.1825	15.5
03.1825	22.4
04.1825	3.8
05.1825	15.5
06.1825	15.4
07.1825	30.9
08.1825	25.7
09.1825	15.7
10.1825	15.6
11.1825	11.7
12.1825	22.0
01.1826	17.7
02.1826	18.2
03.1826	36.7
04.1826	24.0
05.1826	32.4
06.1826	37.1
07.1826	52.5
08.1826	39.6
09.1826	18.9
10.1826	50.6
11.1826	39.5
12.1826	68.1
01.1827	34.6
02.1827	47.4
03.1827	57.8
04.1827	46.0
05.1827	56.3
06.1827	56.7
07.1827	42.3
08.1827	53.7
09.1827	49.6
10.1827	56.1
11.1827	48.2
12.1827	46.1
01.1828	52.8
02.1828	64.4
03.1828	65.0
04.1828	61.1
05.1828	89.1
06.1828	98.0
07.1828	54.2
08.1828	76.4
09.1828	50.4
10.1828	54.7
11.1828	57.0
12.1828	46.9
01.1829	43.0
02.1829	49.4
03.1829	72.3
04.1829	95.0
05.1829	67.4
06.1829	73.9
07.1829	90.8
08.1829	77.6
09.1829	52.8
10.1829	57.2
11.1829	67.6
12.1829	56.5
01.1830	52.2
02.1830	72.1
03.1830	84.6
04.1830	106.3
05.1830	66.3
06.1830	65.1
07.1830	43.9
08.1830	50.7
09.1830	62.1
10.1830	84.4
11.1830	81.2
12.1830	82.1
01.1831	47.5
02.1831	50.1
03.1831	93.4
04.1831	54.5
05.1831	38.1
06.1831	33.4
07.1831	45.2
08.1831	55.0
09.1831	37.9
10.1831	46.3
11.1831	43.5
12.1831	28.9
01.1832	30.9
02.1832	55.6
03.1832	55.1
04.1832	26.9
05.1832	41.3
06.1832	26.7
07.1832	14.0
08.1832	8.9
09.1832	8.2
10.1832	21.1
11.1832	14.3
12.1832	27.5
01.1833	11.3
02.1833	14.9
03.1833	11.8
04.1833	2.8
05.1833	12.9
06.1833	1.0
07.1833	7.0
08.1833	5.7
09.1833	11.6
10.1833	7.5
11.1833	5.9
12.1833	9.9
01.1834	4.9
02.1834	18.1
03.1834	3.9
04.1834	1.4
05.1834	8.8
06.1834	7.8
07.1834	8.7
08.1834	4.0
09.1834	11.5
10.1834	24.8
11.1834	30.5
12.1834	34.5
01.1835	7.5
02.1835	24.5
03.1835	19.7
04.1835	61.5
05.1835	43.6
06.1835	33.2
07.1835	59.8
08.1835	59.0
09.1835	100.8
10.1835	95.2
11.1835	100.0
12.1835	77.5
01.1836	88.6
02.1836	107.6
03.1836	98.2
04.1836	142.9
05.1836	111.4
06.1836	124.7
07.1836	116.7
08.1836	107.8
09.1836	95.1
10.1836	137.4
11.1836	120.9
12.1836	206.2
01.1837	188.0
02.1837	175.6
03.1837	134.6
04.1837	138.2
05.1837	111.7
06.1837	158.0
07.1837	162.8
08.1837	134.0
09.1837	96.3
10.1837	123.7
11.1837	107.0
12.1837	129.8
01.1838	144.9
02.1838	84.8
03.1838	140.8
04.1838	126.6
05.1838	137.6
06.1838	94.5
07.1838	108.2
08.1838	78.8
09.1838	73.6
10.1838	90.8
11.1838	77.4
12.1838	79.8
01.1839	105.6
02.1839	102.5
03.1839	77.7
04.1839	61.8
05.1839	53.8
06.1839	54.6
07.1839	84.8
08.1839	131.2
09.1839	132.7
10.1839	90.9
11.1839	68.8
12.1839	63.7
01.1840	81.2
02.1840	87.7
03.1840	67.8
04.1840	65.9
05.1840	69.2
06.1840	48.5
07.1840	60.7
08.1840	57.8
09.1840	74.0
10.1840	55.0
11.1840	54.3
12.1840	53.7
01.1841	24.1
02.1841	29.9
03.1841	29.7
04.1841	40.2
05.1841	67.5
06.1841	55.7
07.1841	30.8
08.1841	39.3
09.1841	36.5
10.1841	28.5
11.1841	19.8
12.1841	38.8
01.1842	20.4
02.1842	22.1
03.1842	21.7
04.1842	26.9
05.1842	24.9
06.1842	20.5
07.1842	12.6
08.1842	26.6
09.1842	18.4
10.1842	38.1
11.1842	40.5
12.1842	17.6
01.1843	13.3
02.1843	3.5
03.1843	8.3
04.1843	9.5
05.1843	21.1
06.1843	10.5
07.1843	9.5
08.1843	11.8
09.1843	4.2
10.1843	5.3
11.1843	19.1
12.1843	12.7
01.1844	9.4
02.1844	14.7
03.1844	13.6
04.1844	20.8
05.1844	11.6
06.1844	3.7
07.1844	21.2
08.1844	23.9
09.1844	7.0
10.1844	21.5
11.1844	10.7
12.1844	21.6
01.1845	25.7
02.1845	43.6
03.1845	43.3
04.1845	57.0
05.1845	47.8
06.1845	31.1
07.1845	30.6
08.1845	32.3
09.1845	29.6
10.1845	40.7
11.1845	39.4
12.1845	59.7
01.1846	38.7
02.1846	51.0
03.1846	63.9
04.1846	69.3
05.1846	59.9
06.1846	65.1
07.1846	46.5
08.1846	54.8
09.1846	107.1
10.1846	55.9
11.1846	60.4
12.1846	65.5
01.1847	62.6
02.1847	44.9
03.1847	85.7
04.1847	44.7
05.1847	75.4
06.1847	85.3
07.1847	52.2
08.1847	140.6
09.1847	160.9
10.1847	180.4
11.1847	138.9
12.1847	109.6
01.1848	159.1
02.1848	111.8
03.1848	108.6
04.1848	107.1
05.1848	102.2
06.1848	129.0
07.1848	139.2
08.1848	132.6
09.1848	100.3
10.1848	132.4
11.1848	114.6
12.1848	159.5
01.1849	157.0
02.1849	131.7
03.1849	96.2
04.1849	102.5
05.1849	80.6
06.1849	81.1
07.1849	78.0
08.1849	67.7
09.1849	93.7
10.1849	71.5
11.1849	99.0
12.1849	97.0
01.1850	78.0
02.1850	89.4
03.1850	82.6
04.1850	44.1
05.1850	61.6
06.1850	70.0
07.1850	39.1
08.1850	61.6
09.1850	86.2
10.1850	71.0
11.1850	54.8
12.1850	61.0
01.1851	75.5
02.1851	105.4
03.1851	64.6
04.1851	56.5
05.1851	62.6
06.1851	63.2
07.1851	36.1
08.1851	57.4
09.1851	67.9
10.1851	62.5
11.1851	51.0
12.1851	71.4
01.1852	68.4
02.1852	66.4
03.1852	61.2
04.1852	65.4
05.1852	54.9
06.1852	46.9
07.1852	42.1
08.1852	39.7
09.1852	37.5
10.1852	67.3
11.1852	54.3
12.1852	45.4
01.1853	41.1
02.1853	42.9
03.1853	37.7
04.1853	47.6
05.1853	34.7
06.1853	40.0
07.1853	45.9
08.1853	50.4
09.1853	33.5
10.1853	42.3
11.1853	28.8
12.1853	23.4
01.1854	15.4
02.1854	20.0
03.1854	20.7
04.1854	26.5
05.1854	24.0
06.1854	21.1
07.1854	18.7
08.1854	15.8
09.1854	22.4
10.1854	12.6
11.1854	28.2
12.1854	21.6
01.1855	12.3
02.1855	11.4
03.1855	17.4
04.1855	4.4
05.1855	9.1
06.1855	5.3
07.1855	0.4
08.1855	3.1
09.1855	0.0
10.1855	9.6
11.1855	4.2
12.1855	3.1
01.1856	0.5
02.1856	4.9
03.1856	0.4
04.1856	6.5
05.1856	0.0
06.1856	5.2
07.1856	4.6
08.1856	5.9
09.1856	4.4
10.1856	4.5
11.1856	7.7
12.1856	7.2
01.1857	13.7
02.1857	7.4
03.1857	5.2
04.1857	11.1
05.1857	28.6
06.1857	16.0
07.1857	22.2
08.1857	16.9
09.1857	42.4
10.1857	40.6
11.1857	31.4
12.1857	37.2
01.1858	39.0
02.1858	34.9
03.1858	57.5
04.1858	38.3
05.1858	41.4
06.1858	44.5
07.1858	56.7
08.1858	55.3
09.1858	80.1
10.1858	91.2
11.1858	51.9
12.1858	66.9
01.1859	83.7
02.1859	87.6
03.1859	90.3
04.1859	85.7
05.1859	91.0
06.1859	87.1
07.1859	95.2
08.1859	106.8
09.1859	105.8
10.1859	114.6
11.1859	97.2
12.1859	81.0
01.1860	82.4
02.1860	88.3
03.1860	98.9
04.1860	71.4
05.1860	107.1
06.1860	108.6
07.1860	116.7
08.1860	100.3
09.1860	92.2
10.1860	90.1
11.1860	97.9
12.1860	95.6
01.1861	62.3
02.1861	77.7
03.1861	101.0
04.1861	98.5
05.1861	56.8
06.1861	88.1
07.1861	78.0
08.1861	82.5
09.1861	79.9
10.1861	67.2
11.1861	53.7
12.1861	80.5
01.1862	63.1
02.1862	64.5
03.1862	43.6
04.1862	53.7
05.1862	64.4
06.1862	84.0
07.1862	73.4
08.1862	62.5
09.1862	66.6
10.1862	41.9
11.1862	50.6
12.1862	40.9
01.1863	48.3
02.1863	56.7
03.1863	66.4
04.1863	40.6
05.1863	53.8
06.1863	40.8
07.1863	32.7
08.1863	48.1
09.1863	22.0
10.1863	39.9
11.1863	37.7
12.1863	41.2
01.1864	57.7
02.1864	47.1
03.1864	66.3
04.1864	35.8
05.1864	40.6
06.1864	57.8
07.1864	54.7
08.1864	54.8
09.1864	28.5
10.1864	33.9
11.1864	57.6
12.1864	28.6
01.1865	48.7
02.1865	39.3
03.1865	39.5
04.1865	29.4
05.1865	34.5
06.1865	33.6
07.1865	26.8
08.1865	37.8
09.1865	21.6
10.1865	17.1
11.1865	24.6
12.1865	12.8
01.1866	31.6
02.1866	38.4
03.1866	24.6
04.1866	17.6
05.1866	12.9
06.1866	16.5
07.1866	9.3
08.1866	12.7
09.1866	7.3
10.1866	14.1
11.1866	9.0
12.1866	1.5
01.1867	0.0
02.1867	0.7
03.1867	9.2
04.1867	5.1
05.1867	2.9
06.1867	1.5
07.1867	5.0
08.1867	4.8
09.1867	9.8
10.1867	13.5
11.1867	9.6
12.1867	25.2
01.1868	15.6
02.1868	15.7
03.1868	26.5
04.1868	36.6
05.1868	26.7
06.1868	31.1
07.1868	29.0
08.1868	34.4
09.1868	47.2
10.1868	61.6
11.1868	59.1
12.1868	67.6
01.1869	60.9
02.1869	59.9
03.1869	52.7
04.1869	41.0
05.1869	103.9
06.1869	108.4
07.1869	59.2
08.1869	79.6
09.1869	80.6
10.1869	59.3
11.1869	78.1
12.1869	104.3
01.1870	77.3
02.1870	114.9
03.1870	157.6
04.1870	160.0
05.1870	176.0
06.1870	135.6
07.1870	132.4
08.1870	153.8
09.1870	136.0
10.1870	146.4
11.1870	147.5
12.1870	130.0
01.1871	88.3
02.1871	125.3
03.1871	143.2
04.1871	162.4
05.1871	145.5
06.1871	91.7
07.1871	103.0
08.1871	110.1
09.1871	80.3
10.1871	89.0
11.1871	105.4
12.1871	90.4
01.1872	79.5
02.1872	120.1
03.1872	88.4
04.1872	102.1
05.1872	107.6
06.1872	109.9
07.1872	105.5
08.1872	92.9
09.1872	114.6
10.1872	102.6
11.1872	112.0
12.1872	83.9
01.1873	86.7
02.1873	107.0
03.1873	98.3
04.1873	76.2
05.1873	47.9
06.1873	44.8
07.1873	66.9
08.1873	68.2
09.1873	47.1
10.1873	47.1
11.1873	55.4
12.1873	49.2
01.1874	60.8
02.1874	64.2
03.1874	46.4
04.1874	32.0
05.1874	44.6
06.1874	38.2
07.1874	67.8
08.1874	61.3
09.1874	28.0
10.1874	34.3
11.1874	28.9
12.1874	29.3
01.1875	14.6
02.1875	21.5
03.1875	33.8
04.1875	29.1
05.1875	11.5
06.1875	23.9
07.1875	12.5
08.1875	14.6
09.1875	2.4
10.1875	12.7
11.1875	17.7
12.1875	9.9
01.1876	14.3
02.1876	15.0
03.1876	30.6
04.1876	2.3
05.1876	5.1
06.1876	1.6
07.1876	15.2
08.1876	8.8
09.1876	9.9
10.1876	14.3
11.1876	9.9
12.1876	8.2
01.1877	24.4
02.1877	8.7
03.1877	11.9
04.1877	15.8
05.1877	21.6
06.1877	14.2
07.1877	6.0
08.1877	6.3
09.1877	16.9
10.1877	6.7
11.1877	14.2
12.1877	2.2
01.1878	3.3
02.1878	6.6
03.1878	7.8
